主域	序號	NewsBox ID	NewsBox正式名稱	UI短名	Source Key	Endpoint/SubSource	來源名稱	類型	Source Role	UI顯示	第一版	施工批次	刷新週期min	抓取方式	入口URL	Parser檔名	舊Fetch檔名	舊輸出檔	URL狀態	舊邏輯參考	舊碼來源URL	保留	備註	需你核
A 政府政策	11	A2	本地中文媒體	中文新聞	a_exmoo	jina	力報 / Exmoo	本地媒體	primary	Y	Y	P1	20	舊邏輯參考	https://r.jina.ai/https://www.exmoo.com/hot	parse_a_exmoo.js	fetch_exmoo_ws_cb.js	./data/fetch_exmoo.json	已由舊碼回收	Jina Markdown；imgLine + titleLine + dateLine；titleLine 形如 [###/#### title](https://www.exmoo.com/article/xxx.html)；日期 DD/MM/YYYY。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_exmoo_ws_cb.js	Y		
A 政府政策	12	A2	本地中文媒體	中文新聞	a_macaucabletv	jina	澳門有線電視	本地媒體	primary	Y	Y	P1	30	舊邏輯參考	https://r.jina.ai/https://www.macaucabletv.com/video/category/ALL	parse_a_macaucabletv.js	fetch_macaucabletv_ws_cb.js	./data/fetch_macaucabletv_ws_cb.json	已由舊碼回收	Jina Markdown；regex 抽 imageUrl/rawTitle/rawDate/link；日期為 YYYY年M月D日；標題清洗去「影片」。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_macaucabletv_ws_cb.js	Y		
A 政府政策	13	A2	本地中文媒體	中文新聞	a_chengpou	web	正報 / Cheng Pou	本地媒體	primary	Y	Y	P2	60	舊邏輯參考	https://chengpou.com.mo/newstag/Macao.html	parse_a_chengpou.js	fetch_chengpou_ws_cb.js	./data/fetch_chengpou.json	已由舊碼回收	先 HTML/Cheerio 抓 #news-list-container .news-list-detail，最多 3 頁；失敗/不足改用 Jina Markdown 備援；處理 title/abstract/pubDate/link/image。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_chengpou_ws_cb.js	Y		
A 政府政策	14	A2	本地中文媒體	中文新聞	a_chengpou	jina	正報 / Cheng Pou Jina 備援	本地媒體	backup	N	Y	P2	60	舊邏輯參考	https://r.jina.ai/https://chengpou.com.mo/newstag/Macao.html	parse_a_chengpou.js	fetch_chengpou_ws_cb.js	./data/fetch_chengpou.json	已由舊碼回收	Markdown 備援；regex 抽 [![Image...)] title/date/link/image。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_chengpou_ws_cb.js	Y		
A 政府政策	15	A2	本地中文媒體	中文新聞	a_aamacau	jina	論盡媒體 / AAMacau	本地媒體	primary	Y	Y	P1	30	舊邏輯參考	https://r.jina.ai/https://aamacau.com/topics/breakingnews/	parse_a_aamacau.js	fetch_aamacau_ws_cb.js	./data/fetch_aamacau.json	已由舊碼回收	Jina Markdown；結構為 imageLine、空行、infoLine；infoLine 含 年月日 與 ｜文：；URL 形如 https://aamacau.com/?p=數字。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_aamacau_ws_cb.js	Y		
A 政府政策	16	A2	本地中文媒體	中文新聞	a_allinmedia	jina	AllinMedia	本地/博彩新聞	primary	Y	Y	P1	30	舊邏輯參考	https://r.jina.ai/https://www.allinmedia.com.hk/category/%e5%8d%9a%e5%bd%a9%e6%96%b0%e8%81%9e/	parse_a_allinmedia.js	fetch_allin_ws_cb.js	./data/fetch_allin.json	已由舊碼回收	Jina Markdown；日期如 30 6 月, 2025；遇 line 包含 [博彩新聞] 後，下一條 ### [title](link) 作新聞。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_allin_ws_cb.js	Y		
A 政府政策	17	A3	英葡澳門媒體	外語新聞	a_macaubusiness	web	Macao Business	英文商業媒體	primary	Y	Y	P0	30	舊邏輯參考	https://www.macaubusiness.com/category/mna/mna-macau/	parse_a_macaubusiness.js	fetch_macaubusiness_ws_cb.js	./data/fetch_macaubusiness_ws_cb.json	已由舊碼回收	Puppeteer + Cheerio；抓 div.td_module_10/16/1/td-block-span6；link=.td-module-thumb a；date=time；title 由 URL slug 推斷。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_macaubusiness_ws_cb.js	Y		
A 政府政策	18	A3	英葡澳門媒體	外語新聞	a_macaudailytimes	jina	Macao Daily Times	英文媒體	primary	Y	Y	P1	30	舊邏輯參考	https://r.jina.ai/https://macaudailytimes.com.mo/category/macau	parse_a_macaudailytimes.js	fetch_macaudailytimes_ws_cb.js	./data/fetch_macaudailytimes.json	已由舊碼回收	Jina Markdown；regex 抽 https://macaudailytimes.com.mo/... link 與 image；title 由 slug 格式化；date 用當天 Asia/Macau。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_macaudailytimes_ws_cb.js	Y		
A 政府政策	19	A3	英葡澳門媒體	外語新聞	a_macaupostdaily	jina	Macau Post Daily	英文媒體	primary	Y	Y	P0	30	舊邏輯參考	https://r.jina.ai/https://www.macaupostdaily.com/news/list?tab=LATEST	parse_a_macaupostdaily.js	fetch_mopostd_ws_cb.js	./data/fetch_mopostd.json	已由舊碼回收	Jina Markdown；舊碼有 parseMarkdown/extractTitleAbstract；可抽 title/abstract/link/pubDate。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_mopostd_ws_cb.js	Y		
A 政府政策	20	A3	英葡澳門媒體	外語新聞	a_hojemacau	web	Hoje Macau	葡文媒體	primary	Y	Y	P0	30	舊邏輯參考	https://hojemacau.com.mo/seccao/sociedade/ ; https://hojemacau.com.mo/seccao/politica/	parse_a_hojemacau.js	fetch_hojemacau_ws_cb.js	./data/fetch_hojemacau.json	已由舊碼回收	Axios + Cheerio；抓 Sociedade/Pol?tica 各 page1/page2；article[id^=post-]；link header h2 a / post-thumbnail / >a；title 加 (Sociedade)/(Pol?tica)。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_hojemacau_ws_cb.js	Y		
A 政府政策	21	A3	英葡澳門媒體	外語新聞	a_jtm	jina	Jornal Tribuna de Macau / JTM	葡文媒體	primary	Y	Y	P2	60	舊邏輯參考	https://r.jina.ai/https://jtm.com.mo/	parse_a_jtm.js	fetch_jtm_ws_cb.js	./data/fetch_jtm.json	已由舊碼回收	Jina Markdown；reBig 抽首頁大圖，reNorm 抽 ### [title](url) + date；日期格式 D MMM, YYYY。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_jtm_ws_cb.js	Y		
A 政府政策	22	A3	英葡澳門媒體	外語新聞	a_plataforma	jina	Plataforma	葡文/中葡媒體	primary	Y	Y	P2	60	舊邏輯參考	https://r.jina.ai/https://www.plataformamedia.com/zh-hant/seccao/%e6%be%b3%e9%96%80/ ; https://r.jina.ai/https://www.plataformamedia.com/zh-hant/seccao/%e6%be%b3%e9%96%80/page/2/	parse_a_plataforma.js	fetch_plataformm_ws_cb.js	./data/fetch_plataformm_ws_cb.json	已由舊碼回收	Jina Markdown；定位「澳門」section，到「### 即時報導」前；解析大圖與 smallNewsRegex。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_plataformm_ws_cb.js	Y		
A 政府政策	23	A4	區域合作	區域合作	a_gcsgba	web	GCS 大灣區 / GBA 類新聞	官方分類	primary	Y	Y	P0	30	舊邏輯參考	https://www.gcs.gov.mo/news/list/zh-hant/topics/%E7%B2%B5%E6%B8%AF%E6%BE%B3%E5%A4%A7%E7%81%A3%E5%8D%80	parse_a_gcsgba.js	fetch_gcsgba_ws_2.0.js	./data/fetch_gcsgba_ws_2.0.json	已由舊碼回收	HTML/Cheerio；.infiniteItem；title=.subject .txt，author=.dept，abstract=.baseSize，date=time[datetime]，link=a.baseInfo。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_gcsgba_ws_2.0.js	Y		
A 政府政策	24	A4	區域合作	區域合作	a_gcshq	web	GCS 橫琴粵澳深合區類新聞	官方分類	primary	Y	Y	P0	30	舊邏輯參考	https://www.gcs.gov.mo/list/zh-hant/topics/%E6%A9%AB%E7%90%B4%E7%B2%B5%E6%BE%B3%E6%B7%B1%E5%BA%A6%E5%90%88%E4%BD%9C%E5%8D%80	parse_a_gcshq.js	fetch_gcshq_ws_2.0.js	./data/fetch_gcshq_ws_2.0.json	已由舊碼回收	HTML/Cheerio；tr.infiniteItem；title=.subject .txt，author=.dept，abstract=.baseSize，date=time[datetime]，link=a.baseInfo。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_gcshq_ws_2.0.js	Y	舊 A 表未必列入，但 GitHub 有源。	
A 政府政策	25	A4	區域合作	區域合作	a_hengqin_gov	jina	橫琴粵澳深度合作區官網	官方	primary	Y	Y	P0	30	舊邏輯參考	https://r.jina.ai/http://hengqin.gd.gov.cn/zwgk/tzgg/	parse_a_hengqin_gov.js	fetch_hengqingov_ws.js	./data/fetch_hengqingov_ws.json	已由舊碼回收	"Jina Markdown；lines filter includes http/)/]；regex 抽 * [title](link ""title"") date。"	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_hengqingov_ws.js	Y		
A 政府政策	26	A4	區域合作	區域合作	a_cbaaction	jina	灣區行動	官方/灣區	primary	Y	Y	P0	30	舊邏輯參考	https://r.jina.ai/https://www.cnbayarea.org.cn/news/action/index.html	parse_a_cbaaction.js	fetch_cbaaction_ws.js	./data/fetch_cbaaction_ws.json	已由舊碼回收	Jina Markdown；regex：### [title](link) + date；日期降序排序。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_cbaaction_ws.js	Y		
A 政府政策	27	A4	區域合作	區域合作	a_cbaoverall	aggregate	灣區總覽三來源整合	官方/灣區	aggregate	Y	Y	P0	30	舊邏輯參考	由 highlevel / dynamic / policy 三個 subsource 合併	parse_a_cbaoverall.js	fetch_cbaoverall_ws_mix.js	./data/fetch_cbaoverall_ws_mix.json	三來源聚合，入口分三行	舊碼 sources 陣列同時抓高層關注/最新動態/最新政策，然後按日期排序輸出一個 JSON。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_cbaoverall_ws_mix.js	Y	Aggregate 容器，不直接抓取；不生成獨立 endpoint 檔。	
A 政府政策	28	A4	區域合作	區域合作	a_cbaoverall	highlevel	CBA 高層關注	官方分類	subsource	Y	Y	P1	30	舊邏輯參考	https://r.jina.ai/https://www.cnbayarea.org.cn/news/news1/index.html	parse_a_cbaoverall.js	fetch_cbaoverall_ws_mix.js	./data/fetch_cbaoverall_ws_mix.json	已由舊碼回收	subSource；label=高層關注；regex 用 URL1/URL2 結構。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_cbaoverall_ws_mix.js	Y	不生成 fetch_a_cba_highlevel.json。	
A 政府政策	29	A4	區域合作	區域合作	a_cbaoverall	dynamic	CBA 最新動態	官方分類	subsource	Y	Y	P1	30	舊邏輯參考	https://r.jina.ai/https://www.cnbayarea.org.cn/news/focus/index.html	parse_a_cbaoverall.js	fetch_cbaoverall_ws_mix.js	./data/fetch_cbaoverall_ws_mix.json	已由舊碼回收	subSource；label=最新動態；regex 用 URL1/URL2 結構。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_cbaoverall_ws_mix.js	Y	不生成 fetch_a_cba_dynamic.json。	
A 政府政策	30	A4	區域合作	區域合作	a_cbaoverall	policy	CBA 最新政策	官方分類	subsource	Y	Y	P1	30	舊邏輯參考	https://r.jina.ai/https://www.cnbayarea.org.cn/policy/policy%20release/policies/index.html	parse_a_cbaoverall.js	fetch_cbaoverall_ws_mix.js	./data/fetch_cbaoverall_ws_mix.json	已由舊碼回收	subSource；label=最新政策；regex 特別處理有 title 屬性之 Markdown link。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_cbaoverall_ws_mix.js	Y	不生成 fetch_a_cba_policy.json。	
A 政府政策	31	A4	區域合作	區域合作	a_govmo_cepa_search	search	gov.mo CEPA 搜尋	官方搜尋	search	Y	Y	P0	120	舊邏輯參考	https://www.gov.mo/zh-hant/global-search/?q=CEPA	parse_a_cepa_official.js	fetch_cepa_ws_cb.js	./data/fetch_cepa_ws_cb.json	已由舊碼回收	Puppeteer；gov.mo global-search q=CEPA；wait ul.list-search-results > li；取 title/link/abstract/rawDate。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_cepa_ws_cb.js	Y	舊碼不是 CEPA 官方專頁，而是 gov.mo 搜尋 CEPA。；sourceKey 已改為 a_govmo_cepa_search。	
A 政府政策	32	A5	城市建設與委員會工作	委員會工作	a_caeu	web	CAEU 城市規劃委員會	官方	primary	Y	Y	P0	60	舊邏輯參考	https://www.caeu.gov.mo/news/	parse_a_caeu.js	fetch_caeu_ws.js	./data/fetch_caeu.json	已由舊碼回收	HTML/Cheerio；div.news_list > ul > li；取 .news_date1、.title a；href 轉 BASE_URL；日期 / 轉 -。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_caeu_ws.js	Y		
A 政府政策	33	A5	城市建設與委員會工作	委員會工作	a_cpu	jina	CPU 城市規劃 / 城規相關	官方	primary	Y	Y	P1	60	舊邏輯參考	https://r.jina.ai/https://www.cpu.gov.mo/zh/news/press-release	parse_a_cpu.js	fetch_cpu_ws.js	./data/fetch_cpu_ws.json	已由舊碼回收	Jina + Cheerio body text；regex 抽 date/title/上載日期；address 固定為 press-release 頁。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_cpu_ws.js	Y		
A 政府政策	34	A5	城市建設與委員會工作	委員會工作	a_cru	web	CRU 都市更新股份有限公司	官方/半官方	primary	Y	Y	P0	60	舊邏輯參考	https://www.cru.gov.mo/news/	parse_a_cru.js	fetch_cru_ws.js	./data/fetch_cru.json	已由舊碼回收	HTML/Cheerio；div.container.news_list > ul > li；title=li.title a；date=span.news_date1；address=baseURL+relative。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_cru_ws.js	Y		
A 政府政策	35	A5	城市建設與委員會工作	委員會工作	a_gcsup	web	GCS 城規基建類新聞	官方分類	primary	Y	Y	P1	60	舊邏輯參考	https://www.gcs.gov.mo/list/zh-hant/news/%E5%9F%8E%E8%A6%8F%E5%9F%BA%E5%BB%BA	parse_a_gcsup.js	fetch_gcsup_ws.js	./data/fetch_gcsup_ws.json	已由舊碼回收	Puppeteer；tr.infiniteItem；取 span.txt、.dept、time、.line2Truncate、a href；用於 DSSOPT 合併。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_gcsup_ws.js	Y		
A 政府政策	36	A5	城市建設與委員會工作	委員會工作	a_dsop	jina	公共建設局（DSOP）	官方	primary	Y	Y	P1	60	舊邏輯參考	https://r.jina.ai/https://www.dsop.gov.mo/newslist/	parse_a_dsop.js	fetch_dsop_ws.js	./data/fetch_dsop_ws.json	已由舊碼回收	Jina Markdown；regex 結構 * DD / MM-YYYY / [title](url) / abstract；輸出 title/abstract/date/url。	https://raw.githubusercontent.com/chon0529/lotus-v1/main/crawler/fetch_dsop_ws.js	Y	已確認 DSOP 是公共建設局，Link 沒問題。	
